date,new_cases,new_deaths
2020-01-20,1,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,0,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,3,0
2020-01-31,4,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,1,0
2020-02-05,5,0
2020-02-06,3,0
2020-02-07,1,0
2020-02-08,0,0
2020-02-09,3,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,20,0
2020-02-20,53,1
2020-02-21,100,1
2020-02-22,229,0
2020-02-23,169,2
2020-02-24,231,3
2020-02-25,144,3
2020-02-26,284,2
2020-02-27,505,1
