date,country,country_code,new_cases,new_deaths
2019-12-31,Afghanistan,AFG,0,0
2020-01-01,Afghanistan,AFG,0,0
2020-01-02,Afghanistan,AFG,0,0
2020-01-03,Afghanistan,AFG,0,0
2020-01-04,Afghanistan,AFG,0,0
2020-01-05,Afghanistan,AFG,0,0
2020-01-06,Afghanistan,AFG,0,0
2020-01-07,Afghanistan,AFG,0,0
2020-01-08,Afghanistan,AFG,0,0
2020-01-09,Afghanistan,AFG,0,0
2020-01-10,Afghanistan,AFG,0,0
2020-01-11,Afghanistan,AFG,0,0
2020-01-12,Afghanistan,AFG,0,0
2020-01-13,Afghanistan,AFG,0,0
2020-01-14,Afghanistan,AFG,0,0
2020-01-15,Afghanistan,AFG,0,0
2020-01-16,Afghanistan,AFG,0,0
2020-01-17,Afghanistan,AFG,0,0
2020-01-18,Afghanistan,AFG,0,0
2020-01-19,Afghanistan,AFG,0,0
2020-01-20,Afghanistan,AFG,0,0
2020-01-21,Afghanistan,AFG,0,0
2020-01-22,Afghanistan,AFG,0,0
2020-01-23,Afghanistan,AFG,0,0
2020-01-24,Afghanistan,AFG,0,0
2020-01-25,Afghanistan,AFG,0,0
2020-01-26,Afghanistan,AFG,0,0
2020-01-27,Afghanistan,AFG,0,0
2020-01-28,Afghanistan,AFG,0,0
2020-01-29,Afghanistan,AFG,0,0
2020-01-30,Afghanistan,AFG,0,0
2020-01-31,Afghanistan,AFG,0,0
2020-02-01,Afghanistan,AFG,0,0
2020-02-02,Afghanistan,AFG,0,0
2020-02-03,Afghanistan,AFG,0,0
2020-02-04,Afghanistan,AFG,0,0
2020-02-05,Afghanistan,AFG,0,0
2020-02-06,Afghanistan,AFG,0,0
2020-02-07,Afghanistan,AFG,0,0
2020-02-08,Afghanistan,AFG,0,0
2020-02-09,Afghanistan,AFG,0,0
2020-02-10,Afghanistan,AFG,0,0
2020-02-11,Afghanistan,AFG,0,0
2020-02-12,Afghanistan,AFG,0,0
2020-02-13,Afghanistan,AFG,0,0
2020-02-14,Afghanistan,AFG,0,0
2020-02-15,Afghanistan,AFG,0,0
2020-02-16,Afghanistan,AFG,0,0
2020-02-17,Afghanistan,AFG,0,0
2020-02-18,Afghanistan,AFG,0,0
2020-02-19,Afghanistan,AFG,0,0
2020-02-20,Afghanistan,AFG,0,0
2020-02-21,Afghanistan,AFG,0,0
2020-02-22,Afghanistan,AFG,0,0
2020-02-23,Afghanistan,AFG,0,0
2020-02-24,Afghanistan,AFG,0,0
2020-02-25,Afghanistan,AFG,1,0
2020-02-26,Afghanistan,AFG,0,0
2020-02-27,Afghanistan,AFG,0,0
2020-02-28,Afghanistan,AFG,0,0
2020-02-29,Afghanistan,AFG,0,0
2020-03-01,Afghanistan,AFG,0,0
2020-03-02,Afghanistan,AFG,0,0
2020-03-03,Afghanistan,NA,0,0
2020-03-04,Afghanistan,NA,0,0
2020-03-05,Afghanistan,NA,0,0
2020-03-06,Afghanistan,NA,0,0
2020-03-07,Afghanistan,NA,0,0
2020-03-08,Afghanistan,AFG,3,0
2020-03-09,Afghanistan,NA,0,0
2020-03-10,Afghanistan,NA,0,0
2020-03-11,Afghanistan,AFG,3,0
2020-03-12,Afghanistan,NA,0,0
2020-03-13,Afghanistan,NA,0,0
2020-03-14,Afghanistan,NA,0,0
2020-03-15,Afghanistan,AFG,3,0
2020-03-16,Afghanistan,AFG,6,0
2020-03-17,Afghanistan,AFG,5,0
2020-03-18,Afghanistan,AFG,1,0
2020-03-19,Afghanistan,AFG,0,0
2020-03-20,Afghanistan,AFG,0,0
2020-03-21,Afghanistan,AFG,2,0
2020-03-22,Afghanistan,AFG,0,0
2020-03-23,Afghanistan,AFG,10,0
2020-03-24,Afghanistan,AFG,6,1
2020-03-25,Afghanistan,AFG,2,0
2020-03-26,Afghanistan,AFG,33,0
2020-03-27,Afghanistan,AFG,0,0
2020-03-28,Afghanistan,AFG,16,1
2020-03-29,Afghanistan,AFG,15,1
2020-03-30,Afghanistan,AFG,8,1
2020-03-31,Afghanistan,AFG,27,0
2020-04-01,Afghanistan,AFG,25,0
2020-04-02,Afghanistan,AFG,26,0
2020-04-03,Afghanistan,AFG,43,0
2020-04-04,Afghanistan,AFG,0,0
2020-04-05,Afghanistan,AFG,35,1
2020-04-06,Afghanistan,AFG,29,2
2020-04-07,Afghanistan,AFG,38,0
2020-04-08,Afghanistan,AFG,30,4
2020-04-09,Afghanistan,AFG,56,3
2020-04-10,Afghanistan,AFG,61,1
2020-04-11,Afghanistan,AFG,37,0
2020-04-12,Afghanistan,AFG,34,3
2020-04-13,Afghanistan,AFG,52,0
2020-04-14,Afghanistan,AFG,58,3
2020-04-15,Afghanistan,AFG,49,2
2020-04-16,Afghanistan,AFG,70,2
2020-04-17,Afghanistan,AFG,10,4
2020-04-18,Afghanistan,AFG,51,1
2020-04-19,Afghanistan,AFG,63,0
2020-04-20,Afghanistan,AFG,88,3
2020-04-21,Afghanistan,AFG,35,2
2020-04-22,Afghanistan,AFG,61,1
2020-03-09,Albania,ALB,2,0
2020-03-10,Albania,ALB,4,0
2020-03-11,Albania,ALB,4,0
2020-03-12,Albania,ALB,1,1
2020-03-13,Albania,ALB,12,0
2020-03-14,Albania,ALB,10,0
2020-03-15,Albania,ALB,5,0
2020-03-16,Albania,ALB,4,0
2020-03-17,Albania,ALB,9,0
2020-03-18,Albania,ALB,4,0
2020-03-19,Albania,ALB,4,1
2020-03-20,Albania,ALB,11,0
2020-03-21,Albania,ALB,0,0
2020-03-22,Albania,ALB,6,0
2020-03-23,Albania,ALB,13,0
2020-03-24,Albania,ALB,11,2
2020-03-25,Albania,ALB,23,1
2020-03-26,Albania,ALB,23,0
2020-03-27,Albania,ALB,28,1
2020-03-28,Albania,ALB,12,3
2020-03-29,Albania,ALB,11,1
2020-03-30,Albania,ALB,15,0
2020-03-31,Albania,ALB,11,2
2020-04-01,Albania,ALB,20,3
2020-04-02,Albania,ALB,16,0
2020-04-03,Albania,ALB,18,1
2020-04-04,Albania,ALB,27,1
2020-04-05,Albania,ALB,29,2
2020-04-06,Albania,ALB,28,2
2020-04-07,Albania,ALB,16,1
2020-04-08,Albania,ALB,6,0
2020-04-09,Albania,ALB,17,0
2020-04-10,Albania,ALB,9,1
2020-04-11,Albania,ALB,7,0
2020-04-12,Albania,ALB,17,0
2020-04-13,Albania,ALB,13,0
2020-04-14,Albania,ALB,21,0
2020-04-15,Albania,ALB,8,1
2020-04-16,Albania,ALB,19,1
2020-04-17,Albania,ALB,24,1
2020-04-18,Albania,ALB,21,0
2020-04-19,Albania,ALB,9,0
2020-04-20,Albania,ALB,14,0
2020-04-21,Albania,ALB,22,0
2020-04-22,Albania,ALB,25,0
2019-12-31,Algeria,DZA,0,0
2020-01-01,Algeria,DZA,0,0
2020-01-02,Algeria,DZA,0,0
2020-01-03,Algeria,DZA,0,0
2020-01-04,Algeria,DZA,0,0
2020-01-05,Algeria,DZA,0,0
2020-01-06,Algeria,DZA,0,0
2020-01-07,Algeria,DZA,0,0
2020-01-08,Algeria,DZA,0,0
2020-01-09,Algeria,DZA,0,0
2020-01-10,Algeria,DZA,0,0
2020-01-11,Algeria,DZA,0,0
2020-01-12,Algeria,DZA,0,0
2020-01-13,Algeria,DZA,0,0
2020-01-14,Algeria,DZA,0,0
2020-01-15,Algeria,DZA,0,0
2020-01-16,Algeria,DZA,0,0
2020-01-17,Algeria,DZA,0,0
2020-01-18,Algeria,DZA,0,0
2020-01-19,Algeria,DZA,0,0
2020-01-20,Algeria,DZA,0,0
2020-01-21,Algeria,DZA,0,0
2020-01-22,Algeria,DZA,0,0
2020-01-23,Algeria,DZA,0,0
2020-01-24,Algeria,DZA,0,0
2020-01-25,Algeria,DZA,0,0
2020-01-26,Algeria,DZA,0,0
2020-01-27,Algeria,DZA,0,0
